,날짜,종가,전일비,시가,고가,저가,거래량
0,2023-04-25,63600,1600,65300,65400,63400,16193271
1,2023-04-26,64100,500,63600,64300,63300,12664541
2,2023-04-27,64600,500,64100,65000,63300,14779601
3,2023-04-28,65500,900,65200,65900,65000,19699481
4,2023-05-02,65700,200,66000,66300,65100,14396948
5,2023-05-03,65400,300,65100,65600,64900,8876749
6,2023-05-04,65100,300,65600,65700,64700,9791064
7,2023-05-08,65900,800,66300,66300,65400,9405365
8,2023-05-09,65300,600,65800,65800,65100,9366861
9,2023-05-10,64600,700,65500,65500,64300,13057727
10,2023-05-11,64200,400,64700,65100,64200,11648905
11,2023-05-12,64100,100,63700,64600,63600,8693913
12,2023-05-15,64500,400,64100,64600,63900,8172021
13,2023-05-16,65400,900,65800,65900,65300,12334657
14,2023-05-17,65000,400,65900,65900,64800,10745504
15,2023-05-18,66200,1200,66000,66200,65700,14431704
16,2023-05-19,68400,2200,67800,68400,67500,20349345
17,2023-05-22,68500,100,68400,69000,68000,14470308
18,2023-05-23,68400,100,68500,68700,68100,8561643
19,2023-05-24,68500,100,68100,68700,68000,8053275
